date,url,title,sentiment_score,overall_sentiment,positive_count,negative_count,neutral_count,total_sentences
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z2A0DWLU6C01,コロナワクチン接種より感染による免疫力強い、デルタ拡大期－米調査,0.0595,中立,4,3,0,7
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5ZBHET1UM0X01,金正恩氏、核実験やＩＣＢＭ発射実験の再開示唆－米の敵対行為に対抗,0.0931,中立,4,2,1,7
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z3YZT0AFB401,ソフトバンクＧ出資ハビ、メキシコ不動産ハイテクスタートアップ買収,0.3964,ポジティブ,8,2,0,10
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z794DWRGG001,米大統領、ＦＲＢがインフレ抑制で政策「再調整」するのが適切,0.0305,中立,7,6,0,13
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5XJZAT0AFB401,ゼロコロナ維持で高まる中国リスク、封鎖や入院拒否で住民の不満募る,-0.5527,ネガティブ,5,37,5,47
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DJHDT1UM0W01,ソフトバンクＧのクラウレＣＯＯは今後数週間に退社計画－関係者,0.2473,ポジティブ,9,4,2,15
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DN4ODWRGG201,ブラックストーン、手元資金10－12月に急増－運用資産１兆ドルに接近,0.1477,ポジティブ,8,4,2,14
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6E27RDWRGG001,ビザとマスターカード、10－12月カード支出急増－コロナ逆風に耐える,0.1614,ポジティブ,5,1,4,10
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DYN8T0AFB501,ＢｏｆＡ、314人をマネジングディレクターに－女性と非白人で半数超,0.1729,ポジティブ,4,3,1,8
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DZLQDWLU6V01,米天然ガス先物が乱高下、一時72％上昇－ショートスクイーズとの見方,-0.1404,ネガティブ,2,4,3,9
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F2PFT0G1KW01,ウォール街オフィス復帰へ、ＳＥＣやＯＣＣがそれでも在宅続ける理由,-0.2131,ネガティブ,1,4,5,10
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F3NQT1UM0X01,ＡＩＧの10－12月利益が予想上回る、７四半期連続－保険引き受け堅調,0.5229,ポジティブ,9,0,1,10
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F4SFT1UM0Y01,香港が域内全域で新型コロナ検査へ、３月に－地元メディア,-0.3012,ネガティブ,2,4,3,9
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7DJI1T1UM0W01,未来のマネーで先行する中国、五輪で実力見せつけか－米国は追う立場,0.0951,中立,16,8,7,31
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F2CFT0AFB401,米ドアダッシュの10～12月は34％増収、注文数過去最多－株価急伸,0.4816,ポジティブ,6,1,0,7
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8E8A9T1UM0W01,英はリセッション入りも、足元のエネルギー価格継続なら－ＮＩＥＳＲ,0.1309,ポジティブ,3,1,3,7
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8E9RTDWRGG001,ロシア、ノルドストリーム１経由の欧州への天然ガス供給遮断も辞さず,-0.129,ネガティブ,2,2,2,6
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8DYWZT1UM0X01,ＬＭＥニッケル最高値更新－ロシア供給不安でショートスクイーズ,0.0546,中立,5,3,3,11
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8E5RGDWX2PU01,ロシア産原油の禁輸と関税引き上げで枠組み合意－米議会主要議員,0.3553,ポジティブ,7,1,0,8
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-06/R8CG9VDWLU6B01,【米国市況】Ｓ＆Ｐ500種が2020年10月以来の大幅安、景気懸念強まる,-0.1018,ネガティブ,10,16,9,35
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JOZCDWRGG401,北朝鮮の最近のミサイル試射、ＩＣＢＭ技術の試験が目的－米高官,-0.0166,中立,5,6,5,16
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JVGOT1UM0W01,小麦先物急落、トレーダーは需要とウクライナ情勢を両にらみ,-0.1614,ネガティブ,2,3,1,6
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JTVOT0G1KX01,東芝の２社分割計画への反対を勧告－議決権行使助言会社グラスルイス,-0.0783,中立,4,5,0,9
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JTICDWRGG001,金正恩氏、西海衛星発射場の改造・拡張を指示－朝鮮中央通信,0.4499,ポジティブ,3,0,1,4
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JO8NDWLU6S01,ＪＰモルガンとゴールドマンがロシア撤退へ－ウォール街の先陣切る,-0.1849,ネガティブ,1,3,3,7
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WNODT0G1KW01,米下院、ロシアの最恵国待遇を撤回する法案可決－上院に送付,0.2238,ポジティブ,7,2,2,11
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WR66T1UM0W01,ソフトバンクＧ出資のオヨ、ＩＰＯ規模縮小や計画棚上げ検討－関係者,-0.0505,中立,4,5,2,11
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WSTGT0G1KW01,ロシアを「ＣＣ」に格下げ、支払い履行されないリスク－Ｓ＆Ｐ,-0.1312,ネガティブ,3,6,2,11
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8V5PUT1UM1201,「武器化」する半導体、政治絡みの支援策で供給悪化との懸念浮上,-0.1288,ネガティブ,12,19,7,38
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WTBQDWX2PX01,フェデックス、12月－２月利益予想に届かず－値上げで売上高は増加,-0.1259,ネガティブ,3,4,0,7
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA8YKZT0AFB701,ビットコイン４万ドル割れ－シバイヌは急伸、ロビンフッドで取引開始,0.012,中立,4,2,3,9
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA907BT0G1KW01,リッチモンド連銀総裁、最善の道は中立レンジへの迅速な利上げ,0.2401,ポジティブ,5,0,1,6
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA8LDXDWRGG101,ブレイナード理事、「整然とした」引き締めで政策を中立水準へ,0.2771,ポジティブ,7,2,1,10
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA8LDMDWLU6H01,【米国市況】株が続落、原油急反発でインフレ懸念再燃－銀行株に売り,-0.1292,ネガティブ,9,16,13,38
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA89DEDWLU6E01,【今朝の５本】仕事始めに読んでおきたい厳選ニュース,-0.2102,ネガティブ,8,17,7,32
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RA8BCXDWLU6901,ドル・円ピークアウトはＧＷ明けか、当面は130円突破のリスク,0.0923,中立,6,4,7,17
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RAATCTT1UM0W01,アップル、MacBook Pro出荷に遅れ－中国のロックダウンが生産に影響,-0.4211,ネガティブ,2,8,0,10
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RAASU5T0G1KW01,ロシアの要求は制裁違反、ガス代金ルーブル払い－ＥＵが加盟国に警告,-0.1728,ネガティブ,3,4,1,8
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RAAVGMT0G1KW01,中国中銀が今週利下げか、数日以内に預金準備率引き下げも,0.1331,ポジティブ,3,0,5,8
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RA956DDWLU6801,ＥＶシフトで半導体さらに貴重に、ホンダは共同開発など中長期の対策,0.0198,中立,5,5,6,16
2022-05-09,https://www.bloomberg.co.jp/news/articles/2022-05-09/RBMVSADWRGG401,ゴールドマンなどのＳ＆Ｐ500種見通しに変化－先行き厳しいと認める,-0.1157,ネガティブ,3,8,7,18
2022-05-09,https://www.bloomberg.co.jp/news/articles/2022-05-09/RBMXAGDWLU6801,ツイッター株下落、買収予定額引き下げのリスクとヒンデンバーグ,0.0596,中立,4,4,3,11
2022-05-09,https://www.bloomberg.co.jp/news/articles/2022-05-09/RBMWURDWRGG201,米ＦＲＢ、市場全般での流動性巡る状況悪化を警告－金融安定報告,-0.2519,ネガティブ,2,6,1,9
2022-05-09,https://www.bloomberg.co.jp/news/articles/2022-05-09/RBMVPSDWLU6T01,ナスダック100指数急落、３営業日で時価総額200兆円吹き飛ぶ,-0.1337,ネガティブ,3,5,3,11
2022-05-09,https://www.bloomberg.co.jp/news/articles/2022-05-09/RBMXOUDWRGG101,強気のビットコイン購入が裏目、マイクロストラテジーの株価急落,0.013,中立,9,6,1,16
2022-05-13,https://www.bloomberg.co.jp/news/articles/2022-05-13/RBTZKFDWX2PU01,【米国市況】株上昇、ＦＲＢ議長発言でやや安心感－ドル129円台前半,-0.1599,ネガティブ,11,20,6,37
2022-05-13,https://www.bloomberg.co.jp/news/articles/2022-05-13/RBU4BNDWLU6P01,サマーズ氏、米民主党の物価対策酷評－トランプ氏の消毒剤注射に例え,-0.2679,ネガティブ,1,6,3,10
2022-05-13,https://www.bloomberg.co.jp/news/articles/2022-05-13/RBU7EVDWLU6M01,ツイッターＣＥＯ、マスク氏との合意は「完了する」と想定,0.5302,ポジティブ,3,0,0,3
2022-05-13,https://www.bloomberg.co.jp/news/articles/2022-05-13/RBU3B8DWLU6G01,クレディＳがゴットシュタインＣＥＯの更迭検討、年内にも－関係者,-0.1054,ネガティブ,4,3,2,9
2022-05-13,https://www.bloomberg.co.jp/news/articles/2022-05-13/RBTPDVDWX2Q101,米国で新型コロナ再流行、複数回感染の症例増加－実態把握は困難,-0.5048,ネガティブ,0,12,2,14
2022-05-30,https://www.bloomberg.co.jp/news/articles/2022-05-30/RCPWX2T0AFB7,アジア株は横ばいスタートか、インフレ懸念の中－ＮＹ原油先物上昇,-0.0806,中立,2,3,3,8
2022-05-30,https://www.bloomberg.co.jp/news/articles/2022-05-30/RCPV5TT0AFB401,金相場上昇、先週の上げを維持－リスクセンチメント改善でドル下落,-0.1504,ネガティブ,4,8,3,15
2022-05-30,https://www.bloomberg.co.jp/news/articles/2022-05-30/RCOKKADWX2Q501,【ウクライナ】ＥＵがロシア産石油の一部禁輸で合意、制裁第６弾へ,-0.0229,中立,19,14,4,37
2022-05-30,https://www.bloomberg.co.jp/news/articles/2022-05-30/RCPU9TT1UM0X01,ＮＺ中銀副総裁、国内外の経済リスクでリセッションは十分あり得る,0.0095,中立,2,2,1,5
